customer_id,first_name,last_name,birth_date,phone,address,city,state
100101,Kevin,Malone,4/28/1989,635-573-9754,1229 Main Street,Scranton,PA
100102,Charles,Xavier,4/11/1965,729-287-9456,123 North Hill Drive,Dallas,TX
100103,Finley,Danish,2/7/1999,126-583-7856,432 Hilly Road,Austin,TX
100104,Obi,Kenobi,4/2/1921,975-357-7663,101 Alpine Avenue,New York,NY
100105,Don,Draper,11/7/1948,,12 South Main Lane,San Francisco,CA
100106,Frodo,Baggins,9/4/2001,,1 Pastry Lane,Chicago,IL
100107,Michael,Scott,8/20/1978,235-357-3464,987 Croissant Street,Scranton,PA
100108,Maggie,Muffin,7/6/2001,906-485-1542,701 North Street,Sarasota,FL
100109,Kelly,Kapoor,5/30/1987,674-357-9151,62810 Julip Lane,Scranton,PA
100110,Anakin,Skywalker,10/15/1934,346-458-3370,122 South Street,Charleston,SC
